date,value,ticker
2021-03-22,1128.1900,DEXKOUS
2021-03-23,1128.9600,DEXKOUS
2021-03-24,1133.3500,DEXKOUS
2021-03-25,1133.3100,DEXKOUS
2021-03-26,1129.2600,DEXKOUS
2021-03-29,1133.5700,DEXKOUS
2021-03-30,1133.4400,DEXKOUS
2021-03-31,1126.7200,DEXKOUS
2021-04-01,1131.6300,DEXKOUS
2021-04-02,1127.3000,DEXKOUS
2021-04-05,1127.3400,DEXKOUS
2021-04-06,1117.1200,DEXKOUS
2021-04-07,1116.2100,DEXKOUS
2021-04-08,1116.9600,DEXKOUS
2021-04-09,1120.8400,DEXKOUS
2021-04-12,1124.6000,DEXKOUS
2021-04-13,1125.6300,DEXKOUS
2021-04-14,1116.4300,DEXKOUS
2021-04-15,1115.0400,DEXKOUS
2021-04-16,1114.9300,DEXKOUS
2021-04-19,1115.0300,DEXKOUS
2021-04-20,1116.6800,DEXKOUS
2021-04-21,1117.8000,DEXKOUS
2021-04-22,1117.3000,DEXKOUS
2021-04-23,1115.1000,DEXKOUS
2021-04-26,1110.8800,DEXKOUS
2021-04-27,1109.6000,DEXKOUS
2021-04-28,1112.2800,DEXKOUS
2021-04-29,1108.5400,DEXKOUS
2021-04-30,1115.5800,DEXKOUS
2021-05-03,1122.8800,DEXKOUS
2021-05-04,1122.0500,DEXKOUS
2021-05-05,1125.8200,DEXKOUS
2021-05-06,1121.9400,DEXKOUS
2021-05-07,1121.0600,DEXKOUS
2021-05-10,1112.2800,DEXKOUS
2021-05-11,1119.3800,DEXKOUS
2021-05-12,1124.3300,DEXKOUS
2021-05-13,1130.3500,DEXKOUS
2021-05-14,1126.7600,DEXKOUS
2021-05-17,1136.0300,DEXKOUS
2021-05-18,1129.6700,DEXKOUS
2021-05-19,1128.1800,DEXKOUS
2021-05-20,1127.7400,DEXKOUS
2021-05-21,1126.5900,DEXKOUS
2021-05-24,1125.2800,DEXKOUS
2021-05-25,1123.2100,DEXKOUS
2021-05-26,1117.6300,DEXKOUS
2021-05-27,1117.4700,DEXKOUS
2021-05-28,1114.4800,DEXKOUS
2021-06-01,1106.4300,DEXKOUS
2021-06-02,1110.3700,DEXKOUS
2021-06-03,1117.6300,DEXKOUS
2021-06-04,1112.0300,DEXKOUS
2021-06-07,1111.0100,DEXKOUS
2021-06-08,1116.4300,DEXKOUS
2021-06-09,1116.5800,DEXKOUS
2021-06-10,1114.1700,DEXKOUS
2021-06-11,1116.5700,DEXKOUS
2021-06-14,1117.5700,DEXKOUS
2021-06-15,1118.3300,DEXKOUS
2021-06-16,1118.4200,DEXKOUS
2021-06-17,1130.1400,DEXKOUS
2021-06-18,1135.2800,DEXKOUS
2021-06-21,1134.1900,DEXKOUS
2021-06-22,1137.0700,DEXKOUS
2021-06-23,1133.8900,DEXKOUS
2021-06-24,1131.5000,DEXKOUS
2021-06-25,1127.3600,DEXKOUS
2021-06-28,1130.2900,DEXKOUS
2021-06-29,1131.6800,DEXKOUS
2021-06-30,1130.4200,DEXKOUS
2021-07-01,1134.3700,DEXKOUS
2021-07-02,1132.4200,DEXKOUS
2021-07-06,1137.1700,DEXKOUS
2021-07-07,1141.2600,DEXKOUS
2021-07-08,1147.9600,DEXKOUS
2021-07-09,1145.0800,DEXKOUS
2021-07-12,1146.2900,DEXKOUS
2021-07-13,1146.2900,DEXKOUS
2021-07-14,1147.4300,DEXKOUS
2021-07-15,1141.2100,DEXKOUS
2021-07-16,1139.3500,DEXKOUS
2021-07-19,1147.1700,DEXKOUS
2021-07-20,1150.4500,DEXKOUS
2021-07-21,1153.0300,DEXKOUS
2021-07-22,1149.9900,DEXKOUS
2021-07-23,1153.5300,DEXKOUS
2021-07-26,1154.7500,DEXKOUS
2021-07-27,1156.3200,DEXKOUS
2021-07-28,1156.2700,DEXKOUS
2021-07-29,1142.0900,DEXKOUS
2021-07-30,1151.8600,DEXKOUS
2021-08-02,1150.7200,DEXKOUS
2021-08-03,1149.4500,DEXKOUS
2021-08-04,1142.9900,DEXKOUS
2021-08-05,1142.5300,DEXKOUS
2021-08-06,1145.8700,DEXKOUS
2021-08-09,1145.8300,DEXKOUS
2021-08-10,1152.5000,DEXKOUS
2021-08-11,1156.0900,DEXKOUS
2021-08-12,1162.7800,DEXKOUS
2021-08-13,1168.3600,DEXKOUS
2021-08-16,1166.7800,DEXKOUS
2021-08-17,1177.0800,DEXKOUS
2021-08-18,1170.1800,DEXKOUS
2021-08-19,1173.8900,DEXKOUS
2021-08-20,1180.4000,DEXKOUS
2021-08-23,1169.7300,DEXKOUS
2021-08-24,1165.4300,DEXKOUS
2021-08-25,1164.2400,DEXKOUS
2021-08-26,1169.8800,DEXKOUS
2021-08-27,1162.5000,DEXKOUS
