window,hidden,lr,weight_decay,batch,loss,config_id,seed,train_end,validation_end,best_epoch,epochs_run,naive_mae,mae,gain_percent
20,4,0.0003,0.1,64,mae,142,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,16,0.0003,0.0,64,mae,144,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,24,0.003,0.001,32,mae,143,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,64,0.001,0.001,64,mse,140,42,874,999,2,12,5.986080000000007,5.983633666048461,0.0408670440680158
60,8,3e-05,0.01,256,mse,146,42,874,999,28,38,5.986080000000007,5.985214085325971,0.0144654711269454
10,32,0.0001,0.0,256,mse,147,42,874,999,12,22,5.986080000000007,5.983869048104192,0.0369348872019004
5,24,0.0003,0.001,256,mae,149,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.0001,0.001,32,mse,134,42,874,999,29,39,5.986080000000007,5.983952587733095,0.0355393223430478
60,64,0.001,0.001,256,mae,145,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,64,0.001,0.001,32,mae,148,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,16,0.003,0.1,256,mae,152,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,8,0.0003,0.1,256,mae,153,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,8,0.0001,0.01,32,mse,150,42,874,999,11,21,5.986080000000007,5.984238021461704,0.0307710310971986
10,16,0.0001,0.1,256,mae,156,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,32,0.001,0.1,64,mae,155,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,8,0.0001,0.1,64,mae,157,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,64,0.0001,0.001,64,mae,154,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,0.0001,0.1,256,mae,160,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,4,0.003,0.001,64,mse,158,42,874,999,1,11,5.986080000000007,5.9826723348251125,0.0569264890361465
30,64,0.0001,0.1,32,mae,151,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,8,3e-05,0.001,32,mse,162,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,8,0.0003,0.01,32,mse,159,42,874,999,4,14,5.986080000000007,5.984115137414945,0.0328238611088105
5,8,0.003,0.001,256,mse,165,42,874,999,8,18,5.986080000000007,5.982933438688916,0.0525646384794575
10,64,3e-05,0.0,256,mae,164,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,8,0.003,0.1,256,mse,167,42,874,999,2,12,5.986080000000007,5.9847517948544935,0.0221882291167818
30,24,3e-05,0.01,256,mse,163,42,874,999,20,30,5.986080000000007,5.98475205291296,0.0221839181408833
30,16,0.0001,0.01,32,mse,166,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,16,0.003,0.001,32,mse,169,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,16,0.0003,0.01,64,mae,168,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,0.001,0.001,32,mae,172,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,8,0.0001,0.1,256,mae,173,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,4,3e-05,0.01,32,mse,170,42,874,999,16,26,5.986080000000007,5.984574669752179,0.0251471789188939
60,8,0.001,0.1,64,mae,174,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,3e-05,0.01,256,mae,175,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,4,3e-05,0.001,64,mse,171,42,874,999,38,48,5.986080000000007,5.984208816950008,0.0312589048258593
30,4,0.001,0.01,256,mae,177,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,4,0.003,0.001,256,mse,178,42,874,999,7,17,5.986080000000007,5.983511458863724,0.0429085668130602
30,32,0.003,0.0,32,mae,176,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,16,0.0003,0.0,256,mse,179,42,874,999,4,14,5.986080000000007,5.984785856122832,0.0216192212128096
20,24,3e-05,0.0,256,mse,180,42,874,999,10,20,5.986080000000007,5.98523196915227,0.0141667142393275
